name,repo,reference_url,source_type
gecko-sdk,https://github.com/SiliconLabs/gecko_sdk,,repo
gemma.cpp,https://github.com/google/gemma.cpp,,repo
gflags,https://github.com/gflags/gflags,,repo
ggml,https://github.com/ggml-org/ggml,,repo
ggwave,https://github.com/ggerganov/ggwave,,repo
gimp,https://github.com/GNOME/gimp,,repo
git,https://github.com/git/git,,repo
glew,https://github.com/nigels-com/glew,,repo
glfw,https://github.com/glfw/glfw,,repo
glib,https://github.com/GNOME/glib,,repo
glibc,https://sourceware.org/git/glibc.git,,repo
glog,https://github.com/google/glog,,repo
glusterfs,https://github.com/gluster/glusterfs,,repo
GmSSL,https://github.com/guanzhi/GmSSL,,repo
gnuradio,https://github.com/gnuradio/gnuradio,,repo
gnutls,https://gitlab.com/gnutls/gnutls,,repo
goaccess,https://github.com/allinurl/goaccess,,repo
goldendict,https://github.com/goldendict/goldendict,,repo
GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,,repo
googletest,https://github.com/google/googletest,,repo
Gource,https://github.com/acaudwell/Gource,,repo
gperftools,https://github.com/gperftools/gperftools,,repo
gpt4all,https://github.com/nomic-ai/gpt4all,,repo
grbl,https://github.com/grbl/grbl,,repo
grpc,https://github.com/grpc/grpc,,repo
grub,https://git.savannah.gnu.org/git/grub.git,,repo
GSL,https://github.com/microsoft/GSL,,repo
GuiLite,https://github.com/idea4good/GuiLite,,repo
guix,https://github.com/eclipse-threadx/guix,,repo
gzip,https://git.savannah.gnu.org/git/gzip.git,,repo
h3,https://github.com/uber/h3,,repo
Halide,https://github.com/halide/Halide,,repo
haproxy,https://github.com/haproxy/haproxy,,repo
harfbuzz,https://github.com/harfbuzz/harfbuzz,,repo
hash-library,https://github.com/stbrumme/hash-library,,repo
hashcat,https://github.com/hashcat/hashcat,,repo
hhvm,https://github.com/facebook/hhvm,,repo
highway,https://github.com/google/highway,,repo
hiredis,https://github.com/redis/hiredis,,repo
hostapd,https://w1.fi/cgit/hostap,,repo
hotspot,https://github.com/KDAB/hotspot,,repo
HP-Socket,https://github.com/ldcsaa/HP-Socket,,repo
htop,https://github.com/hishamhm/htop,,repo
Huawei_LiteOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,,repo
HyperLPR,https://github.com/szad670401/HyperLPR,,repo
hyperscan,https://github.com/intel/hyperscan,,repo
Hyprland,https://github.com/hyprwm/Hyprland,,repo
i2c-tools,https://git.kernel.org/pub/scm/utils/i2c-tools/i2c-tools.git,,repo
i3,https://github.com/i3/i3,,repo
iceoryx,https://github.com/eclipse-iceoryx/iceoryx,,repo
icu,https://github.com/unicode-org/icu,,repo
ImageMagick,https://github.com/ImageMagick/ImageMagick,,repo
imgui,https://github.com/ocornut/imgui,,repo
ImHex,https://github.com/WerWolv/ImHex,,repo
ind-comms-sdk,https://github.com/TexasInstruments/ind-comms-sdk,,repo
input-leap,https://github.com/input-leap/input-leap,,repo
interpret,https://github.com/interpretml/interpret,,repo
iodine,https://github.com/yarrick/iodine,,repo
ios-webkit-debug-proxy,https://github.com/google/ios-webkit-debug-proxy,,repo
iproute2,https://git.kernel.org/pub/scm/network/iproute2/iproute2.git,,repo
iptables,https://git.netfilter.org/iptables,,repo
iSH,https://github.com/ish-app/ish,,repo
itk,https://github.com/InsightSoftwareConsortium/ITK,,repo
itlwm,https://github.com/OpenIntelWireless/itlwm,,repo
iw,https://git.kernel.org/pub/scm/linux/kernel/git/jberg/iw.git,,repo
jansson,https://github.com/akheron/jansson,,repo
jellyfin-desktop,https://github.com/jellyfin/jellyfin-desktop,,repo
jemalloc,https://github.com/jemalloc/jemalloc,,repo
JerryScript,https://github.com/jerryscript-project/jerryscript,,repo
john,https://github.com/openwall/john,,repo
jq,https://github.com/jqlang/jq,,repo
json-c,https://github.com/json-c/json-c,,repo
kalibr,https://github.com/ethz-asl/kalibr,,repo
Karabiner-Elements,https://github.com/pqrs-org/Karabiner-Elements,,repo
KBEngine,https://github.com/kbengine/kbengine,,repo
kcat,https://github.com/edenhill/kcat,,repo
keepassxc,https://github.com/keepassxreboot/keepassxc,,repo
keil-mdk-middleware,https://github.com/ARM-software/MDK-Middleware,,repo
KeyDB,https://github.com/Snapchat/KeyDB,,repo
kissfft,https://github.com/mborgerding/kissfft,,repo
klipper,https://github.com/Klipper3d/klipper,,repo
kmod,https://git.kernel.org/pub/scm/utils/kernel/kmod/kmod.git,,repo
Kodi (XBMC),https://github.com/xbmc/xbmc,,repo
L-ink_Card,https://github.com/peng-zhihui/L-ink_Card,,repo
LANDrop,https://github.com/LANDrop/LANDrop,,repo
ledger,https://github.com/ledger/ledger,,repo
leela-zero,https://github.com/leela-zero/leela-zero,,repo
LeetCode,https://github.com/wisdompeak/LeetCode,,repo
lely-core,https://github.com/lely-industries/lely-core,,repo
lepton,https://github.com/dropbox/lepton,,repo
leveldb,https://github.com/google/leveldb,,repo
levelx,https://github.com/eclipse-threadx/levelx,,repo
libarchive,https://github.com/libarchive/libarchive,,repo
libcap,https://git.kernel.org/pub/scm/libs/libcap/libcap.git,,repo
libcimbar,https://github.com/sz3/libcimbar,,repo
libcoap,https://github.com/obgm/libcoap.git,,repo
libcrc,https://github.com/lammertb/libcrc,,repo
libcyphal,https://github.com/UAVCAN/libuavcan,,repo
libdrm,https://gitlab.freedesktop.org/mesa/drm,,repo
libev,https://github.com/enki/libev,,repo
libevent,https://github.com/libevent/libevent,,repo
libfacedetection,https://github.com/ShiqiYu/libfacedetection,,repo
libftdi,https://developer.intra2net.com/git/?p=libftdi,,repo
libgcrypt,https://dev.gnupg.org/source/libgcrypt.git,,repo
libgit2,https://github.com/libgit2/libgit2,,repo
libgpiod,https://git.kernel.org/pub/scm/libs/libgpiod/libgpiod.git,,repo
libhv,https://github.com/ithewei/libhv,,repo
libigl,https://github.com/libigl/libigl,,repo
libiio,https://github.com/analogdevices/libiio,,repo
libjpeg-turbo,https://github.com/libjpeg-turbo/libjpeg-turbo,,repo
liblc3,https://github.com/google/liblc3,,repo
libmctp,https://github.com/openbmc/libmctp,,repo
libmetal,https://github.com/OpenAMP/libmetal,,repo
libmicrohttpd,https://git.gnunet.org/libmicrohttpd.git,,repo
libmodbus,https://github.com/stephane/libmodbus,,repo
libopencm3,https://github.com/libopencm3/libopencm3,,repo
libpag,https://github.com/Tencent/libpag,,repo
LibreCAD,https://github.com/LibreCAD/LibreCAD,,repo
LibreSprite,https://github.com/LibreSprite/LibreSprite,,repo
libressl,https://github.com/libressl/portable,,repo
Librum,https://github.com/Librum-Reader/Librum,,repo
libsbc,https://github.com/niclas-pfeifer/libsbc,,repo
libslirp,https://gitlab.freedesktop.org/slirp/libslirp,,repo
libsodium,https://github.com/jedisct1/libsodium,,repo
libssh2,https://github.com/libssh2/libssh2,,repo
libtomcrypt,https://github.com/libtom/libtomcrypt,,repo
libui,https://github.com/andlabs/libui,,repo
libusb,https://github.com/libusb/libusb,,repo
libuv,https://github.com/libuv/libuv,,repo
libvips,https://github.com/libvips/libvips,,repo
libwebsockets,https://github.com/warmcat/libwebsockets,,repo
libxml2,https://gitlab.gnome.org/GNOME/libxml2,,repo
libyaml,https://github.com/yaml/libyaml,,repo
libzip,https://github.com/nih-at/libzip,,repo
libzmq,https://github.com/zeromq/libzmq,,repo
LICEcap,https://github.com/justinfrankel/licecap,,repo
LIEF,https://github.com/lief-project/LIEF,,repo
LightGBM,https://github.com/microsoft/LightGBM,,repo
lighttpd,https://github.com/lighttpd/lighttpd1.4,,repo
linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,,repo
liquid-dsp,https://github.com/jgaeddert/liquid-dsp,,repo
liquidfun,https://github.com/google/liquidfun,,repo
littlefs,https://github.com/littlefs-project/littlefs,,repo
llamafile,https://github.com/mozilla-ai/llamafile,,repo
llvm-project,https://github.com/llvm/llvm-project,,repo
lmdb,https://github.com/LMDB/lmdb,,repo
log4cplus,https://github.com/log4cplus/log4cplus,,repo
Logan,https://github.com/Meituan-Dianping/Logan,,repo
LookingGlass,https://github.com/gnif/LookingGlass,,repo
lora-basics-modem,https://github.com/Lora-net/SWL2001,,repo
loramac-node,https://github.com/Lora-net/LoRaMac-node,,repo
love,https://github.com/love2d/love,,repo
lttng-tools,https://github.com/lttng/lttng-tools,,repo
lttng-ust,https://github.com/lttng/lttng-ust,,repo
lua-nginx-module,https://github.com/openresty/lua-nginx-module,,repo
LuaJIT,https://github.com/LuaJIT/LuaJIT,,repo
luanti,https://github.com/luanti-org/luanti,,repo
Luma3DS,https://github.com/LumaTeam/Luma3DS,,repo
LunaTranslator,https://github.com/HIllya51/LunaTranslator,,repo
lvgl,https://github.com/lvgl/lvgl,,repo
lwan,https://github.com/lpereira/lwan,,repo
lwip,https://github.com/lwip-tcpip/lwip.git,,repo
lxc,https://github.com/lxc/lxc,,repo
lz4,https://github.com/lz4/lz4,,repo
magic_enum,https://github.com/Neargye/magic_enum,,repo
Magnum,https://github.com/mosra/magnum,,repo
make,https://git.savannah.gnu.org/git/make.git,,repo
manticoresearch,https://github.com/manticoresoftware/manticoresearch,,repo
MariaDB Server,https://github.com/MariaDB/server,,repo
Marlin,https://github.com/MarlinFirmware/Marlin,,repo
mars,https://github.com/Tencent/mars,,repo
masscan,https://github.com/robertdavidgraham/masscan,,repo
MBE,https://github.com/RPISEC/MBE,,repo
mbed-os,https://github.com/ARMmbed/mbed-os,,repo
mbedtls,https://github.com/Mbed-TLS/mbedtls,,repo
mcu-plus-sdk-am62ax,https://github.com/TexasInstruments/mcupsdk-core-k3,,repo
mcuboot,https://github.com/mcu-tools/mcuboot,,repo
mcupsdk-core,https://github.com/TexasInstruments/mcupsdk-core,,repo
mcux-sdk,https://github.com/nxp-mcuxpresso/mcux-sdk.git,,repo
mdp,https://github.com/visit1985/mdp,,repo
mender,https://github.com/mendersoftware/mender,,repo
mesa,https://gitlab.freedesktop.org/mesa/mesa,,repo
meshoptimizer,https://github.com/zeux/meshoptimizer,,repo
meshtastic-firmware,https://github.com/meshtastic/firmware,,repo
meson,https://github.com/mesonbuild/meson,,repo
mesos,https://github.com/apache/mesos,,repo
mfc,,https://learn.microsoft.com/,reference
mGBA,https://github.com/mgba-emu/mgba,,repo
micropython,https://github.com/micropython/micropython,,repo
microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,,repo
mimalloc,https://github.com/microsoft/mimalloc,,repo
MinHook,https://github.com/TsudaKageyu/minhook,,repo
miniaudio,https://github.com/mackron/miniaudio,,repo
minizip,https://github.com/madler/zlib,,repo
mipi-sys-t,https://github.com/MIPI-Alliance/public-mipi-sys-t,,repo
mixxx,https://github.com/mixxxdj/mixxx,,repo
mjolnir,https://github.com/mjolnirapp/mjolnir,,repo
mlpack,https://github.com/mlpack/mlpack,,repo
MMKV,https://github.com/Tencent/MMKV,,repo
mmwave-sdk,https://www.ti.com/tool/MMWAVE-SDK,,repo
MNN,https://github.com/alibaba/MNN,,repo
mold,https://github.com/rui314/mold,,repo
monero,https://github.com/monero-project/monero,,repo
mongoose,https://github.com/cesanta/mongoose,,repo
moonlight-qt,https://github.com/moonlight-stream/moonlight-qt,,repo
mosh,https://github.com/mobile-shell/mosh,,repo
mosquitto,https://github.com/eclipse/mosquitto,,repo
motor-control-sdk,https://github.com/TexasInstruments/motor-control-sdk,,repo
mozjpeg,https://github.com/mozilla/mozjpeg,,repo
mpv,https://github.com/mpv-player/mpv,,repo
mquickjs,https://github.com/bellard/mquickjs,,repo
ms-gsl,https://github.com/microsoft/GSL,,repo
msgpack-c,https://github.com/msgpack/msgpack-c,,repo
mspm0-sdk,https://github.com/TexasInstruments/mspm0-sdk,,repo
mspm33-sdk,https://www.ti.com/tool/MSPM33-SDK,,repo
msvc-stl,https://github.com/microsoft/STL,,repo
mtd-utils,https://git.infradead.org/mtd-utils.git,,repo
MTProxy,https://github.com/TelegramMessenger/MTProxy,,repo
mtwister,https://github.com/ESultanik/mtwister,,repo
mujoco,https://github.com/google-deepmind/mujoco,,repo
mumble,https://github.com/mumble-voip/mumble,,repo
musl,https://git.musl-libc.org/cgit/musl,,repo
mxnet,https://github.com/apache/mxnet,,repo
mynewt-core,https://github.com/apache/mynewt-core,,repo
mynewt-nimble,https://github.com/apache/mynewt-nimble,,repo
mysql-server,https://github.com/mysql/mysql-server,,repo
MyTinySTL,https://github.com/Alinshans/MyTinySTL,,repo
n2n,https://github.com/ntop/n2n,,repo
naiveproxy,https://github.com/klzgrad/naiveproxy,,repo
nanomsg,https://github.com/nanomsg/nanomsg,,repo
nanopb,https://github.com/nanopb/nanopb,,repo
Natron,https://github.com/NatronGitHub/Natron,,repo
ncurses,https://github.com/mirror/ncurses,,repo
NebulaGraph,https://github.com/vesoft-inc/nebula,,repo
nekoray,https://github.com/MatsuriDayo/nekoray,,repo
netdata,https://github.com/netdata/netdata,,repo
nettle,https://git.lysator.liu.se/nettle/nettle,,repo
netxduo,https://github.com/eclipse-threadx/netxduo,,repo
newlib,https://sourceware.org/git/newlib-cygwin.git,,repo
nftables,https://git.netfilter.org/nftables,,repo
nghttp2,https://github.com/nghttp2/nghttp2,,repo
nginx,https://github.com/nginx/nginx,,repo
nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,,repo
nginx-unit,https://github.com/nginx/unit,,repo
ninja,https://github.com/ninja-build/ninja.git,,repo
nix,https://github.com/NixOS/nix,,repo
nlohmann-json,https://github.com/nlohmann/json,,repo
nmap,https://github.com/nmap/nmap,,repo
nng,https://github.com/nanomsg/nng,,repo
noise-suppression-for-voice,https://github.com/werman/noise-suppression-for-voice,,repo
noMeiryoUI,https://github.com/Tatsu-syo/noMeiryoUI,,repo
notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,,repo
nrf-connect-sdk,https://github.com/nrfconnect/sdk-nrf,,repo
nrf-wifi,https://github.com/nrfconnect/sdk-nrf,,repo
nrfx,https://github.com/NordicSemiconductor/nrfx,,repo
Nuklear,https://github.com/Immediate-Mode-UI/Nuklear,,repo
nuttx,https://github.com/apache/nuttx,,repo
nvtop,https://github.com/Syllo/nvtop,,repo
obs-studio,https://github.com/obsproject/obs-studio,,repo
oceanbase,https://github.com/oceanbase/oceanbase,,repo
oneTBB,https://github.com/uxlfoundation/oneTBB,,repo
onnxruntime,https://github.com/microsoft/onnxruntime,,repo
